,author,count
642,"Godwin, William",2
643,"Goncharov, Ivan Aleksandrovich",2
644,"Walton, O. F., Mrs.",2
645,"Walcott, Earle Ashley",2
646,"Moodie, Susanna",2
647,"Keats, John",2
648,"Foote, Mary Hallock",2
649,"Baroja, Pío",2
650,"Smith, Logan Pearsall",2
651,"Malet, Lucas",2
652,"Taylor, Bayard",2
653,"Myers, F. W. H. (Frederic William Henry)",2
654,"Warner, Susan",2
655,"Hale, Edward Everett",2
656,"Ervine, St. John G. (St. John Greer)",2
657,"Holcroft, Thomas",2
658,"Brand, Max",2
659,"Wallace, Dillon",2
660,"Sweetser, Kate Dickinson",2
661,"Shelley, Percy Bysshe",2
662,"Graves, Robert",2
663,"Gregory, Jackson",2
664,"Trollope, Frances Milton",2
665,"Waterloo, Stanley",2
666,Euripides,2
667,"Child, Lydia Maria",2
668,"Curwood, James Oliver",2
669,"Camp, Wadsworth",2
670,"Futrelle, Jacques",2
671,"Woodson, Carter Godwin",2
672,"Burt, Katharine Newlin",2
673,"Moore, Frederick Ferdinand",2
674,"Webster, Henry Kitchell",2
675,"Curtis, William Eleroy",2
676,"Bairnsfather, Bruce",2
677,"Griffiths, Arthur",2
678,"Galton, Francis",2
679,"Franklin, Miles",2
680,"Finck, Henry T.",2
681,"Schopenhauer, Arthur",2
682,"McIntyre, John T. (John Thomas)",2
683,"Martinengo-Cesaresco, Evelyn Lilian Hazeldine Carrington, contessa",2
684,"Morley, John",2
685,"Johnston, Harry",2
686,"Richmond, Grace S. (Grace Smith)",2
687,"Nordhoff, Charles",2
688,"Glover, T. R. (Terrot Reaveley)",2
689,"Van Schaick, George",2
690,"Watts-Dunton, Theodore",2
691,"Wylie, I. A. R. (Ida Alexa Ross)",2
692,"Lear, Edward",2
693,"Falkner, John Meade",2
694,"Benoît, Pierre",2
695,"Post, Emily",2
696,"Morrow, Honoré",2
697,"About, Edmond",2
698,"Poole, Ernest",2
699,"Abbott, Eleanor Hallowell",2
700,"Gregory, Lady",2
701,"Maxwell, W. B. (William Babington)",2
702,"Major, Charles",2
703,"Lucas, E. V. (Edward Verrall) ; Graves, Charles L. (Charles Larcom)",2
704,"Cholmondeley, Mary",2
705,"Childers, Erskine",2
706,"Shelley, Mary Wollstonecraft",2
707,"Runciman, Walter Runciman, Baron",2
708,"Garis, Howard Roger",2
709,"Wood, Henry, Mrs.",2
710,"West, Rebecca",2
711,"Browning, Robert",2
712,"Kemble, Fanny",2
713,"Tarbell, Ida M. (Ida Minerva)",2
714,"Perry, Lawrence",2
715,"Matthews, Brander",2
716,"Garnett, Richard",2
717,"Neihardt, John G.",2
718,"Macaulay, Rose",2
719,"Watson, William Henry Lowe",2
720,"Parmele, Mary Platt",2
721,"Dyson, Edward",2
722,"Lloyd, Nelson",2
723,"Villiers de L'Isle-Adam, Auguste, comte de",2
724,"Ferris, George T. (George Titus)",2
725,"Kleiser, Grenville",2
726,"Baxter, Beverley",2
727,"Pansy ; Livingston, C. M., Mrs.",2
728,"La Bruyère, Jean de",2
729,"Freeman, Mary Eleanor Wilkins",2
730,"Smith, Alexander",2
731,"Hutchinson, Woods",2
732,"Winter, William",2
733,"Lubbock, Percy",2
734,"Luther, Mark Lee",2
735,"Shoghi, Effendi",2
736,ʻAbdu'l-Bahá,2
737,"Oyen, Henry",2
738,"Evans, E. Everett (Edward Everett)",2
739,"Newman, John Henry",2
740,"Fowler, Ellen Thorneycroft",2
741,"Bacon, Josephine Daskam",2
742,"Boyesen, Hjalmar Hjorth",2
743,"Carryl, Guy Wetmore",2
744,"Diver, Maud",2
745,"Douglas, Alan, Captain",2
746,"Bassett, Sara Ware",2
747,"Froude, James Anthony",2
748,"James, William",2
749,"Marden, Orison Swett",2
750,"Munro, Neil",2
751,"Janvier, Thomas A. (Thomas Allibone)",2
752,"Mitchell, Ruth Comfort",2
753,"Moorhouse, Herbert Joseph",2
754,"Shorter, Clement King",2
755,"Moffett, Cleveland",2
756,"Connolly, James B. (James Brendan)",2
757,"Lowell, James Russell",2
758,"Münsterberg, Hugo",2
759,Unknown,2
760,"Pennell, Elizabeth Robins",2
761,"Coffin, Charles Carleton",2
762,"John, the Apostle, Saint",2
763,"Browning, Elizabeth Barrett",2
764,"Farrar, F. W. (Frederic William)",2
765,"O'Brien, Fitz James",2
766,"Lockhart, Caroline",2
767,"Harris, Corra",2
768,"Cullum, Ridgwell",2
769,"Fuller, Anna",2
770,"Egan, Maurice Francis",2
771,"Martineau, Harriet",2
772,"Reynolds, Mack",2
773,"Ficke, Arthur Davison",2
774,"Stephens, James",2
775,"Flammarion, Camille",2
776,"Neill, Alexander Sutherland",2
777,"Robinson, A. Mary F. (Agnes Mary Frances)",2
778,"Hendryx, James B. (James Beardsley)",2
779,"La Motte, Ellen N. (Ellen Newbold)",2
