,Published Year,Etext Number
1590,1979,31367
1591,1979,49405
1592,1979,61727
1593,1979,45238
1594,1979,72464
1595,1979,53351
1596,1979,55366
1597,1979,67710
1598,1979,66173
1599,1979,69705
1600,1979,53456
1601,1979,28749
1602,1979,39539
1603,1979,19441
1604,1979,49027
1605,1979,72327
1606,1979,57509
1607,1979,74134
1608,1979,56042
1609,1979,63055
1610,1979,21198
1611,1979,71425
1612,1979,65160
1613,1979,64638
1614,1979,58112
1615,1979,64281
1616,1979,32004
1617,1979,72221
1618,1979,50014
1619,1979,62646
1620,1979,65754
1621,1979,29033
1622,1979,15530
1623,1979,37544
1624,1979,65740
1625,1979,39158
1626,1979,45177
1627,1979,39110
1628,1979,24387
1629,1979,19780
1630,1979,70741
1631,1979,34125
1632,1979,27258
1633,1979,46134
1634,1979,69812
1635,1979,65893
1636,1979,40161
1637,1979,68469
1638,1979,49203
1639,1979,69745
1640,1979,70721
1641,1979,37566
1642,1979,35083
1643,1979,49087
1644,1979,68209
1645,1979,39723
1646,1979,65065
1647,1979,57385
1648,1979,14341
1649,1979,67753
1650,1979,73420
1651,1979,52988
1652,1979,28561
1653,1979,33268
1654,1979,55486
1655,1979,33502
1656,1979,19019
1657,1979,25608
1658,1979,40804
