,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found,Number of books by author
866,"Mills, Weymer Jay",Weymer Jay Mills,,,1880.0,1938.0,OpenLibrary,True,2
876,"Kiser, Samuel E. (Samuel Ellsworth)",Samuel Ellsworth Kiser,male,,1862.0,1942.0,"OpenLibrary, Wikidata",True,2
884,"Garrett, Erwin Clarkson",Erwin Clarkson Garrett,male,,1879.0,1954.0,"OpenLibrary, Wikidata",True,2
885,"Machray, Robert",Robert Machray,male,,1831.0,1904.0,"OpenLibrary, Wikidata",True,2
886,"Gilson, Roy Rolfe",Roy Rolfe Gilson,male,,1875.0,1933.0,"OpenLibrary, Wikidata",True,2
888,"Schoonmaker, Edwin Davies",Edwin Davies Schoonmaker,male,,1873.0,1940.0,"OpenLibrary, Wikidata",True,2
906,"Harkins, E. F. (Edward Francis)",Edward Francis Harkins,,,1872.0,,OpenLibrary,True,2
914,"Frye, James A. (James Albert)",James Albert Frye,,,1863.0,,OpenLibrary,True,2
937,"Carr, Alice Vansittart Strettel",Alice Vansittart Strettel Carr,female,,1850.0,,OpenLibrary,True,2
939,"Horsley, Reginald",Reginald Horsley,male,,1863.0,1926.0,"OpenLibrary, Wikidata",True,2
943,"Thomas, Henry Wilton",Henry Wilton Thomas,female,,1867.0,,OpenLibrary,True,2
945,"Dowdall, Mrs.",Dowdall,female,,,,OpenLibrary,True,2
959," Orr, Sutherland, Mrs.","Sutherland, Orr",female,,,,OpenLibrary,True,1
966,"Stewart, Cal",Cal Stewart,male,,1856.0,1919.0,"OpenLibrary, Wikidata",True,1
980,"McNeill, John Charles",John Charles McNeill,male,,1874.0,1907.0,"OpenLibrary, Wikidata",True,1
986,"Wood, Eugene",Eugene Wood,male,,1860.0,1923.0,"OpenLibrary, Wikidata",True,1
995,"Gatlin, Dana",Dana Gatlin,female,,1884.0,1940.0,"OpenLibrary, Wikidata",True,1
1022,"Roe, Vingie E. (Vingie Eve)",Vingie Eve Roe,,American,1879.0,1958.0,"Wikipedia, OpenLibrary",True,1
1032,"Crewdson, Charles N. (Charles Newman)",Charles Newman Crewdson,,,1870.0,,OpenLibrary,True,1
1035,"Ledyard, Mary Forman ",Mary Forman Ledyard,,,1867.0,,OpenLibrary,True,1
1036," Mandall, Abertine D.",Abertine D. Mandall,,,,,,False,1
1037,"Carter, Charles Franklin",Charles Franklin Carter,male,,1890.0,1957.0,"OpenLibrary, Wikidata",True,1
1039,"Hulbert, James R. (James Root)",James Root Hulbert,male,,1884.0,1969.0,"OpenLibrary, Wikidata",True,1
1042,"Yule, J. C., Mrs.","J. C., Yule",female,,,,OpenLibrary,True,1
1051,"Weir, Arthur",Arthur Weir,male,,1864.0,1902.0,"OpenLibrary, Wikidata",True,1
1052,"Byrum, Isabel C. (Isabel Coston)",Isabel Coston Byrum,female,,1870.0,1938.0,"OpenLibrary, Wikidata",True,1
1056,"Fletcher, Robert Huntington",Robert Huntington Fletcher,,,1875.0,1919.0,OpenLibrary,True,1
1057,"Argyll, John Douglas Sutherland Campbell, Duke of","John Douglas Sutherland Campbell, Duke of Argyll",,Canadian,1845.0,1914.0,OpenLibrary,True,1
1063,"Feis, Jacob",Jacob Feis,male,,1842.0,1900.0,"OpenLibrary, Wikidata",True,1
1087,"Griswold, Latta",Latta Griswold,,,1876.0,1931.0,OpenLibrary,True,1
1106," Toombs, Frederick R.",Frederick R. Toombs,male,,1879.0,1929.0,"OpenLibrary, Wikidata",True,1
1115,"Jung, Nizamat, Sir","Nizamat, Jung",male,,1871.0,1955.0,Wikipedia,True,1
1165,"Niles, Henry Thayer",Henry Thayer Niles,male,,1825.0,1901.0,"OpenLibrary, Wikidata",True,1
1168,"Mather, Marshall",Marshall Mather,male,,1851.0,1916.0,"OpenLibrary, Wikidata",True,1
1181,"Laidlaw, A. H. (Alexander Hamilton)",Alexander Hamilton Laidlaw,,,1828.0,1908.0,OpenLibrary,True,1
1190," Kingsley, Walter J. ",Walter J. Kingsley,,American,,1929.0,"Wikipedia, Wikidata",True,1
1192," Pemberton, Murdock",Murdock Pemberton,male,,1888.0,1982.0,"OpenLibrary, Wikidata",True,1
1196,"Beede, Clara Frances McKee",Clara Frances McKee Beede,,,,,,False,1
