,Authors,Normalised Authors,Author Gender,Author Nationality,Author Birth,Author Death,Author Info Source,Author Info Found
119,"Anstey, F.",F. Anstey,male,English,1856.0,1934.0,Wikipedia,True
120,"Meredith, George",George Meredith,male,"British, English",1828.0,1909.0,Wikipedia,True
121,"Lowndes, Marie Belloc",Marie Belloc Lowndes,female,English,1868.0,1947.0,Wikipedia,True
122,"Lincoln, Joseph Crosby",Joseph Crosby Lincoln,male,American,1870.0,1944.0,"Wikipedia, Wikidata",True
123,"Merriman, Henry Seton",Henry Seton Merriman,male,English,1862.0,1903.0,Wikipedia,True
124,"Riley, James Whitcomb",James Whitcomb Riley,male,American,1849.0,1916.0,Wikipedia,True
125,"Crockett, S. R. (Samuel Rutherford)",Samuel Rutherford Crockett,male,United Kingdom of Great Britain and Ireland,1859.0,1914.0,"OpenLibrary, Wikidata",True
126,"Dunsany, Lord",Dunsany,male,"Anglo-Irish, English",1878.0,1957.0,Wikipedia,True
127,"Stowe, Harriet Beecher",Harriet Beecher Stowe,female,American,1811.0,1896.0,Wikipedia,True
128,"Holley, Marietta",Marietta Holley,female,American,1836.0,1926.0,"Wikipedia, OpenLibrary",True
129,"Cawein, Madison Julius",Madison Julius Cawein,male,American,1865.0,1914.0,"Wikipedia, Wikidata",True
130,"Hill, Grace Livingston",Grace Livingston Hill,female,American,1865.0,1947.0,Wikipedia,True
131,"Cable, George Washington",George Washington Cable,male,American,1844.0,1925.0,"Wikipedia, OpenLibrary",True
132,"Birmingham, George A.",George A. Birmingham,male,Irish,1865.0,1950.0,"Wikipedia, OpenLibrary",True
133,"Boothby, Guy",Guy Boothby,male,Australian,1868.0,1905.0,"Wikipedia, OpenLibrary",True
134,"Cullum, Ridgwell",Ridgwell Cullum,male,British,1867.0,1943.0,"Wikipedia, OpenLibrary, Wikidata",True
135,"Pinero, Arthur Wing",Arthur Wing Pinero,male,"British, English",1855.0,1934.0,Wikipedia,True
136,"Wood, Henry, Mrs.","Henry, Wood",female,,1849.0,1925.0,OpenLibrary,True
137,"Russell, William Clark",William Clark Russell,male,English,1844.0,1911.0,Wikipedia,True
138,"Miller, Alex. McVeigh, Mrs.","Alex. McVeigh, Miller",female,American,1850.0,1937.0,Wikipedia,True
