,Authors,nb_opium_books,total_nb_snippets,snippets_per_book,max_nb_snippets_per_book,Author Gender,Author Nationality,Number of books by author
758,"Martineau, Harriet",1,1,"{(74238, 'Illustrations of political economy, Volume 8 (of 9)'): 1}",1,female,English,1
759,"Martin, Helen Reimensnyder",1,1,"{(4760, 'Tillie, a Mennonite Maid; a Story of the Pennsylvania Dutch'): 1}",1,female,American,2
760,"Martin, George Madden",1,1,"{(31806, 'The House of Fulfilment'): 1}",1,female,American,2
761,"Martin, George",1,1,"{(64545, 'Marguerite; or, The Isle of Demons and Other Poems'): 1}",1,male,United States,1
762,"Martin, Catherine",1,1,"{(50832, 'An Australian Girl'): 1}",1,female,Australian,1
763,"Martin, Benjamin Ellis",1,1,"{(56140, 'In the Footprints of Charles Lamb'): 1}",1,,,1
764,"Marston, John",1,1,"{(46311, 'The Works of John Marston. Volume 2'): 1}",1,male,United Kingdom,1
765,"Marshall, H. E. (Henrietta Elizabeth)",1,1,"{(5725, 'English Literature for Boys and Girls'): 1}",1,female,"British, Scottish",1
766,"Marshall, Edison",1,1,"{(35378, 'The Strength of the Pines'): 1}",1,male,American,2
767,"Mirrlees, Hope",1,1,"{(63935, 'The Counterplot'): 1}",1,female,British,1
768,"Morrow, W. C.",1,1,"{(21616, 'The Ape, the Idiot & Other People'): 1}",1,male,American,3
769,"Manning, Frederic",1,1,"{(60537, 'Scenes and Portraits'): 1}",1,male,Australian,2
770,"Pattee, Fred Lewis",1,1,"{(42593, 'A History of American Literature Since 1870'): 1}",1,male,American,1
771,"Pollard, Percival",1,1,"{(39724, 'The Imitator: A Novel'): 1}",1,male,American,2
772,"Pidgin, Charles Felton",1,1,"{(7497, 'Further Adventures of Quincy Adams Sawyer and Mason Corner Folks'): 1}",1,male,American,3
773,"Philip, Alex",1,1,"{(65382, 'The Crimson West'): 1}",1,male,United States,1
774,"Peterson, Maud Howard",1,1,"{(47272, 'The Potter and the Clay: A Romance of Today'): 1}",1,male,Canadian,1
775,"Pertwee, Roland",1,1,"{(69114, 'Our Wonderful Selves'): 1}",1,male,"British, English",2
776,"Pendexter, Hugh",1,1,"{(26631, 'A Virginia Scout'): 1}",1,male,American,1
777,"Pedler, Margaret",1,1,"{(16497, 'The Moon out of Reach'): 1}",1,female,British,1
778,"Peattie, Elia Wilkinson",1,1,"{(1877, 'A Mountain Woman'): 1}",1,female,American,5
779,"Payson, William Farquhar",1,1,"{(58403, 'John Vytal: A Tale of the Lost Colony'): 1}",1,male,American,1
780,"Payn, James",1,1,"{(13410, 'Some Private Views'): 1}",1,male,English,2
781,"Patterson, Joseph Medill",1,1,"{(56455, 'Rebellion'): 1}",1,male,American,1
782,"Paternoster, G. Sidney",1,1,"{(71516, 'The master criminal'): 1}",1,female,"Irish-American, Irish, American",1
783,"Munthe, Axel",1,1,"{(38894, 'Vagaries'): 1}",1,male,Sweden,1
784,"Palgrave, Francis Turner",1,1,"{(17923, 'The Visions of England\nLyrics on leading men and events in English History'): 1}",1,male,British,1
785,"Page, Thomas Nelson",1,1,"{(49648, 'Red Rock: A Chronicle of Reconstruction'): 1}",1,male,American,19
786,"Ovington, Mary White",1,1,"{(33101, 'The Shadow'): 1}",1,male,American,1
787,"Overton, Gwendolen",1,1,"{(57017, 'The heritage of unrest'): 1}",1,female,,1
788,"Ostrander, Isabel",1,1,"{(72948, 'Annihilation'): 1}",1,female,American,3
789,"Oliphant, Laurence",1,1,"{(36277, 'Piccadilly: A Fragment of Contemporary Biography'): 1}",1,male,United Kingdom of Great Britain and Ireland,2
790,"Norris, Kathleen Thompson",1,1,"{(4947, 'Sisters'): 1}",1,female,American,6
791,"Newman, John Henry",1,1,"{(30664, 'Callista : a Tale of the Third Century'): 1}",1,male,English,1
792,"Nesbit, E. (Edith)",1,1,"{(9385, 'The Incomplete Amorist'): 1}",1,female,English,8
793,"Nason, Frank Lewis",1,1,"{(31485, 'The Blue Goose'): 1}",1,male,American,2
794,"Murray, David Christie",1,1,"{(22204, 'The Making Of A Novelist\nAn Experiment In Autobiography'): 1}",1,male,English,4
795,"Marryat, Florence",1,1,"{(68277, 'The blood of the vampire'): 1}",1,female,"British, English",1
796,"Major, Charles",1,1,"{(29486, 'A Forest Hearth: A Romance of Indiana in the Thirties'): 1}",1,male,United States,4
797,"Harraden, Beatrice",1,1,"{(42812, 'Katharine Frensham: A Novel'): 1}",1,female,British,4
798,"Hubbard, Elbert",1,1,"{(52049, 'The Man: A Story of To-day'): 1}",1,male,American,4
799,"Johnson, James Weldon",1,1,"{(11012, 'The Autobiography of an Ex-Colored Man'): 1}",1,male,American,1
800,"Jerome, Jerome K. (Jerome Klapka)",1,1,"{(2231, 'All Roads Lead to Calvary'): 1}",1,male,English,20
801,"Iliowizi, Henry",1,1,"{(42963, 'The Weird Orient: Nine Mystic Tales'): 1}",1,male,"United States, United Kingdom of Great Britain and Ireland",1
802,"Hyne, Charles John Cutcliffe Wright",1,1,"{(57039, 'Prince Rupert, the Buccaneer'): 1}",1,male,English,4
803,"Hyatt, Stanley Portal",1,1,"{(29274, 'People of Position'): 1}",1,male,English,2
804,"Hunt, Violet",1,1,"{(58526, 'The Human Interest: A Study in Incompatibilities'): 1}",1,female,"English, British",2
805,"Hull, E. M. (Edith Maude)",1,1,"{(7031, 'The Sheik: A Novel'): 1}",1,female,British,1
806,"Hughes, William R. (William Richard)",1,1,"{(31394, ""A Week's Tramp in Dickens-Land\r\nTogether with Personal Reminiscences of the 'Inimitable Boz' Therein Collected""): 1}",1,male,,1
807,"Hueston, Ethel",1,1,"{(18413, 'Prudence of the Parsonage'): 1}",1,,,4
808,"Hudson, W. H. (William Henry)",1,1,"{(7353, 'Birds in Town & Village'): 1}",1,male,United Kingdom of Great Britain and Ireland,5
809,"Hudson, Stephen",1,1,"{(8138, 'War-time Silhouettes'): 1}",1,male,British,1
810,"Housman, Laurence",1,1,"{(18498, 'King John of Jingalo: The Story of a Monarch in Difficulties'): 1}",1,male,English,6
811,"Jones, Henry, Sir",1,1,"{(13561, 'Browning as a Philosophical and Religious Teacher'): 1}",1,male,Irish,1
812,"Hopper, James",1,1,"{(37250, 'Caybigan'): 1}",1,male,United States,2
813,"Hobbes, John Oliver",1,1,"{(27997, 'Robert Orange\nBeing a Continuation of the History of Robert Orange'): 1}",1,female,"American, Anglo-American",1
814,"Hitchcock, Mary",1,1,"{(15467, 'The first soprano'): 1}",1,female,United States,1
815,"Hill, Grace Livingston",1,1,"{(67977, 'Not Under the Law'): 1}",1,female,American,12
816,"Hewlett, Maurice",1,1,"{(8934, 'The Forest Lovers'): 1}",1,male,English,13
817,"Hensley, Sophia Margaretta",1,1,"{(17936, 'Poems'): 1}",1,female,Canadian,2
818,"Henley, William Ernest",1,1,"{(22280, 'Views and Reviews: Essays in appreciation: Literature'): 1}",1,male,English,2
819,"Hayward, Rachel",1,1,"{(19943, 'The Hippodrome'): 1}",1,female,Canadian,1
820,"Havens, Munson Aldrich",1,1,"{(23886, 'Old Valentines\nA Love Story'): 1}",1,male,,1
821,"Harris, Frank",1,1,"{(16894, 'Oscar Wilde, His Life and Confessions. Volume 1 (of 2)'): 1}",1,male,Irish-American,10
822,"Harris, Corra",1,1,"{(23607, ""A Circuit Rider's Wife""): 1}",1,female,American,2
823,"Johnston, Mary",1,1,"{(16554, 'Foes'): 1}",1,female,American,11
824,"Kelland, Clarence Budington",1,1,"{(72066, 'Contraband'): 1}",1,male,American,3
825,"Mair, G. H. (George Herbert)",1,1,"{(11327, 'English Literature: Modern'): 1}",1,male,British,1
826,"Lincoln, Joseph Crosby",1,1,"{(3280, ""Cap'n Warren's Wards""): 1}",1,male,American,12
827,"Maher, Richard Aumerle",1,1,"{(46852, 'The Hills of Desire'): 1}",1,male,,2
828,"Macpherson, Hector",1,1,"{(32626, 'Thomas Carlyle'): 1}",1,male,Scottish,1
829,"MacKeracher, William M. (William Mackay)",1,1,"{(37366, 'Vacation Verse'): 1}",1,male,Canada,1
830,"MacGowan, Alice",1,1,"{(26527, 'Judith of the Cumberlands'): 1}",1,female,American,2
831,"MacDonald, Ronald",1,1,"{(59873, 'The Sword of the King'): 1}",1,male,Canada,1
832,"Maartens, Maarten",1,1,"{(49903, 'My Lady Nobody: A Novel'): 1}",1,male,Kingdom of the Netherlands,1
833,"Lynd, Robert",1,1,"{(13764, 'The Art of Letters'): 1}",1,male,Irish,1
834,"Longfellow, Marian",1,1,"{(42076, 'Contrasted Songs'): 1}",1,female,American,1
835,"Long, John Luther",1,1,"{(33616, 'The Way of the Gods'): 1}",1,male,American,1
836,"Lockhart, Caroline",1,1,"{(23304, 'The Lady Doc'): 1}",1,female,American,4
837,"Lloyd, Nelson",1,1,"{(23741, 'David Malcolm'): 1}",1,male,,3
838,"Lewis, C. S. (Clive Staples)",1,1,"{(2003, 'Spirits in Bondage: A Cycle of Lyrics'): 1}",1,male,"Irish, British",1
839,"Kelly, Florence Finch",1,1,"{(30733, 'The Fate of Felix Brand'): 1}",1,female,American,4
840,"Levy, Amy",1,1,"{(57447, 'The Romance of a Shop'): 1}",1,female,English,2
841,"Lefevre, Edwin",1,1,"{(23171, 'The Tipster\n1901, From ""Wall Street Stories""'): 1}",1,male,American,6
842,"Lee, Sidney, Sir",1,1,"{(18780, 'Shakespeare and the Modern Stage; with Other Essays'): 1}",1,male,English,2
843,"Lear, Edward",1,1,"{(13647, 'Nonsense Songs'): 1}",1,male,"British, English",1
844,"Abbott, Eleanor Hallowell",1,1,"{(14506, 'The White Linen Nurse'): 1}",1,female,American,6
845,"Lawson, Henry",1,1,"{(1313, 'Over the Sliprails'): 1}",1,male,Australian,6
846,"Laut, Agnes C.",1,1,"{(69587, 'The quenchless light'): 1}",1,,Canadian,3
847,"Lauder, Thomas Dick, Sir",1,1,"{(58931, 'Legendary Tales of the Highlands (Volume 2 of 3)\nA sequel to Highland Rambles'): 1}",1,male,Scottish,1
848,"Lane, Elinor Macartney",1,1,"{(28366, 'Nancy Stair: A Novel'): 1}",1,female,American,1
849,"Kummer, Frederic Arnold",1,1,"{(33019, 'The Green God'): 1}",1,male,American,4
850,"Kirkman, Marshall M. (Marshall Monroe)",1,1,"{(53006, 'The Romance of Gilbert Holmes: An Historical Novel'): 1}",1,male,American,1
851,"dePina, Albert",1,1,"{(63524, 'The Silver Plague'): 1}",1,,,1
